species,version,M_method,GOA,BS,BC,WC,multi_region
alaska skate,1,amax,NA,0.2076923076923077,NA,NA,NA
alaska skate,2,amax,NA,0.30000000000000004,NA,NA,NA
alaska skate,3,amax,NA,0.31764705882352945,NA,NA,NA
alaska skate,1,fishlife,0.1598409962549273,0.1598409962549273,0.1598409962549273,0.1598409962549273,0.1598409962549273
alaska skate,1,frisk_k,NA,0.15634520827545356,NA,NA,NA
alaska skate,1,frisk_tmat,NA,0.15948963317384368,NA,NA,NA
alaska skate,1,hamel_k,NA,0.15251099999999998,NA,NA,NA
alaska skate,1,jensen_k1,NA,0.1305,NA,NA,NA
alaska skate,1,jensen_k2,NA,0.1392,NA,NA,NA
alaska skate,1,then,NA,0.13391077343120814,NA,NA,NA
aleutian skate,1,amax,0.28421052631578947,0.31764705882352945,NA,NA,NA
aleutian skate,1,fishlife,0.1598409962549273,0.1598409962549273,0.1598409962549273,0.1598409962549273,0.1598409962549273
aleutian skate,1,frisk_k,0.17253269932466583,0.18507284334075674,NA,NA,NA
aleutian skate,2,frisk_k,0.19653722423853923,0.1909238855545526,NA,NA,NA
aleutian skate,3,frisk_k,NA,0.17253269932466583,NA,NA,NA
aleutian skate,4,frisk_k,NA,0.17253269932466583,NA,NA,NA
aleutian skate,1,frisk_tmat,NA,0.15728216420257943,NA,NA,NA
aleutian skate,1,hamel_k,0.19283,0.22788999999999998,NA,NA,NA
aleutian skate,2,hamel_k,0.26294999999999996,0.24542,NA,NA,NA
aleutian skate,3,hamel_k,NA,0.19283,NA,NA,NA
aleutian skate,4,hamel_k,NA,0.19283,NA,NA,NA
aleutian skate,1,jensen_k1,0.165,0.195,NA,NA,NA
aleutian skate,2,jensen_k1,0.22499999999999998,0.21000000000000002,NA,NA,NA
aleutian skate,3,jensen_k1,NA,0.165,NA,NA,NA
aleutian skate,4,jensen_k1,NA,0.165,NA,NA,NA
aleutian skate,1,jensen_k2,0.17600000000000002,0.20800000000000002,NA,NA,NA
aleutian skate,2,jensen_k2,0.24,0.22400000000000003,NA,NA,NA
aleutian skate,3,jensen_k2,NA,0.17600000000000002,NA,NA,NA
aleutian skate,4,jensen_k2,NA,0.17600000000000002,NA,NA,NA
aleutian skate,1,then,0.15370885511035864,0.1728988378551574,NA,NA,NA
aleutian skate,2,then,0.2023116009448813,0.1837149089342341,NA,NA,NA
aleutian skate,3,then,NA,0.15052708617317617,NA,NA,NA
aleutian skate,4,then,NA,0.14991152457495527,NA,NA,NA
bering skate,1,amax,0.2571428571428572,0.2571428571428572,NA,NA,NA
bering skate,1,fishlife,0.11749588055778094,0.11749588055778094,0.11749588055778094,0.11749588055778094,0.11749588055778094
bering skate,1,frisk_k,0.1347794865502383,0.14439964906576405,NA,NA,NA
bering skate,2,frisk_k,0.13375499652970874,0.14270121343384298,NA,NA,NA
bering skate,1,hamel_k,0.10710829999999999,0.126216,NA,NA,NA
bering skate,2,hamel_k,0.10518,0.12271,NA,NA,NA
bering skate,1,jensen_k1,0.09165000000000001,0.10799999999999998,NA,NA,NA
bering skate,2,jensen_k1,0.09,0.10500000000000001,NA,NA,NA
bering skate,1,jensen_k2,0.09776000000000001,0.1152,NA,NA,NA
bering skate,2,jensen_k2,0.096,0.11200000000000002,NA,NA,NA
bering skate,1,then,0.11177292589962726,0.12966688261945816,NA,NA,NA
bering skate,2,then,0.11029963323405229,0.12702634976646765,NA,NA,NA
big skate,1,amax,0.4153846153846154,NA,0.2076923076923077,0.45,NA
big skate,2,amax,0.44383561643835623,NA,NA,NA,NA
big skate,3,amax,0.38571428571428573,NA,NA,NA,NA
big skate,1,fishlife,0.18649355106539695,0.18649355106539695,0.18649355106539695,0.18649355106539695,0.18649355106539695
big skate,1,frisk_k,0.15061560745775246,NA,0.13375499652970874,NA,NA
big skate,2,frisk_k,NA,NA,0.11281106146672358,NA,NA
big skate,3,frisk_k,NA,NA,0.11281106146672358,NA,NA
big skate,1,frisk_tmat,NA,NA,0.18552875695732837,NA,NA
big skate,1,hamel_k,0.1395388,NA,0.10518,NA,NA
big skate,2,hamel_k,NA,NA,0.07012,NA,NA
big skate,3,hamel_k,NA,NA,0.07012,NA,NA
big skate,1,jensen_k1,0.1194,NA,0.09,NA,NA
big skate,2,jensen_k1,NA,NA,0.06,NA,NA
big skate,3,jensen_k1,NA,NA,0.06,NA,NA
big skate,1,jensen_k2,0.12736,NA,0.096,NA,NA
big skate,2,jensen_k2,NA,NA,0.064,NA,NA
big skate,3,jensen_k2,NA,NA,0.064,NA,NA
big skate,1,then,0.10510625065820242,NA,0.10063393310100129,NA,NA
big skate,2,then,NA,NA,0.060122210622574494,NA,NA
big skate,3,then,NA,NA,0.06012897206244981,NA,NA
commander skate,1,amax,NA,0.1542857142857143,NA,NA,NA
commander skate,2,amax,NA,0.16875,NA,NA,NA
commander skate,1,fishlife,0.11749588055778094,0.11749588055778094,0.11749588055778094,0.11749588055778094,0.11749588055778094
commander skate,1,frisk_k,NA,0.11480046108239098,NA,NA,NA
commander skate,1,frisk_tmat,NA,0.08965393580778196,NA,NA,NA
commander skate,2,frisk_tmat,NA,0.1044932079414838,NA,NA,NA
commander skate,1,hamel_k,NA,0.0731001,NA,NA,NA
commander skate,1,jensen_k1,NA,0.06255,NA,NA,NA
commander skate,1,jensen_k2,NA,0.06672,NA,NA,NA
commander skate,1,then,NA,0.08068544168449845,NA,NA,NA
longnose skate,1,amax,0.23478260869565218,NA,NA,0.24545454545454548,0.27
longnose skate,2,amax,0.24868421052631579,NA,NA,0.28421052631578947,NA
longnose skate,3,amax,0.30000000000000004,NA,NA,NA,NA
longnose skate,4,amax,0.225,NA,NA,NA,NA
longnose skate,1,fishlife,0.18649355106539695,0.18649355106539695,0.18649355106539695,0.18649355106539695,0.18649355106539695
longnose skate,1,frisk_k,0.11281106146672358,NA,NA,0.11281106146672358,0.11281106146672358
longnose skate,2,frisk_k,0.1089287633307902,NA,NA,NA,NA
longnose skate,1,frisk_tmat,0.13175230566534915,NA,NA,0.13986013986013984,0.13175230566534915
longnose skate,1,gsi,NA,NA,NA,0.029617099999999997,NA
longnose skate,1,hamel_k,0.07012,NA,NA,0.07012,0.07012
longnose skate,2,hamel_k,0.0645104,NA,NA,NA,NA
longnose skate,1,jensen_k1,0.06,NA,NA,0.06,0.06
longnose skate,2,jensen_k1,0.0552,NA,NA,NA,NA
longnose skate,1,jensen_k2,0.064,NA,NA,0.064,0.064
longnose skate,2,jensen_k2,0.05888,NA,NA,NA,NA
longnose skate,1,then,0.06330722650454053,NA,NA,0.06714493353766862,0.06602313849444441
longnose skate,2,then,0.06095484945413107,NA,NA,NA,NA
mud skate,1,amax,NA,0.38571428571428573,NA,NA,NA
mud skate,2,amax,NA,0.38571428571428573,NA,NA,NA
mud skate,1,fishlife,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517
mud skate,1,frisk_k,NA,0.1730586010248673,NA,NA,NA
mud skate,2,frisk_k,NA,0.18655940936940815,NA,NA,NA
mud skate,1,frisk_tmat,NA,0.17024174327545116,NA,NA,NA
mud skate,1,hamel_k,NA,0.19423239999999997,NA,NA,NA
mud skate,2,hamel_k,NA,0.2322725,NA,NA,NA
mud skate,1,jensen_k1,NA,0.1662,NA,NA,NA
mud skate,2,jensen_k1,NA,0.19875,NA,NA,NA
mud skate,1,jensen_k2,NA,0.17728,NA,NA,NA
mud skate,2,jensen_k2,NA,0.21200000000000002,NA,NA,NA
mud skate,1,then,NA,0.19009677523280444,NA,NA,NA
mud skate,2,then,NA,0.22309229532924246,NA,NA,NA
roughtail skate,1,amax,NA,0.18000000000000002,NA,0.31764705882352945,NA
roughtail skate,2,amax,NA,0.15000000000000002,NA,NA,NA
roughtail skate,3,amax,NA,0.15000000000000002,NA,NA,NA
roughtail skate,1,fishlife,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225
roughtail skate,1,frisk_k,NA,0.1374301682997449,NA,0.13375499652970874,NA
roughtail skate,2,frisk_k,NA,0.1013580859406385,NA,NA,NA
roughtail skate,3,frisk_k,NA,0.11040674337375465,NA,NA,NA
roughtail skate,1,frisk_tmat,NA,0.07850525985241011,NA,0.12453300124533,NA
roughtail skate,1,hamel_k,NA,0.112192,NA,0.10518,NA
roughtail skate,2,hamel_k,NA,0.054342999999999995,NA,NA,NA
roughtail skate,3,hamel_k,NA,0.06661399999999999,NA,NA,NA
roughtail skate,1,jensen_k1,NA,0.096,NA,0.09,NA
roughtail skate,2,jensen_k1,NA,0.0465,NA,NA,NA
roughtail skate,3,jensen_k1,NA,0.056999999999999995,NA,NA,NA
roughtail skate,1,jensen_k2,NA,0.1024,NA,0.096,NA
roughtail skate,2,jensen_k2,NA,0.049600000000000005,NA,NA,NA
roughtail skate,3,jensen_k2,NA,0.0608,NA,NA,NA
roughtail skate,1,then,NA,0.055626132001846476,NA,0.11104770776291752,NA
roughtail skate,2,then,NA,0.03036304342140112,NA,NA,NA
roughtail skate,3,then,NA,0.03646806188605079,NA,NA,NA
sandpaper skate,1,amax,NA,NA,NA,0.31764705882352945,NA
sandpaper skate,1,fishlife,0.13551546074338366,0.13551546074338366,0.13551546074338366,0.13551546074338366,0.13551546074338366
sandpaper skate,1,frisk_k,NA,NA,NA,0.2263698552053822,NA
sandpaper skate,1,hamel_k,NA,NA,NA,0.36812999999999996,NA
sandpaper skate,1,jensen_k1,NA,NA,NA,0.315,NA
sandpaper skate,1,jensen_k2,NA,NA,NA,0.336,NA
sandpaper skate,1,then,NA,NA,NA,0.34891850158940085,NA
whiteblotched skate,1,amax,NA,0.15000000000000002,NA,NA,NA
whiteblotched skate,2,amax,NA,0.16875,NA,NA,NA
whiteblotched skate,3,amax,NA,0.16363636363636364,NA,NA,NA
whiteblotched skate,1,fishlife,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517,0.12505686594768517
whiteblotched skate,1,frisk_k,NA,0.0843177652356208,NA,NA,NA
whiteblotched skate,2,frisk_k,NA,0.09474583739022593,NA,NA,NA
whiteblotched skate,3,frisk_k,NA,0.10817928056672661,NA,NA,NA
whiteblotched skate,1,frisk_tmat,NA,0.07513148009015778,NA,NA,NA
whiteblotched skate,2,frisk_tmat,NA,0.08658008658008658,NA,NA,NA
whiteblotched skate,3,frisk_tmat,NA,0.07513148009015778,NA,NA,NA
whiteblotched skate,4,frisk_tmat,NA,0.08658008658008658,NA,NA,NA
whiteblotched skate,1,hamel_k,NA,0.03506,NA,NA,NA
whiteblotched skate,2,hamel_k,NA,0.0462792,NA,NA,NA
whiteblotched skate,3,hamel_k,NA,0.0634586,NA,NA,NA
whiteblotched skate,1,jensen_k1,NA,0.03,NA,NA,NA
whiteblotched skate,2,jensen_k1,NA,0.039599999999999996,NA,NA,NA
whiteblotched skate,3,jensen_k1,NA,0.0543,NA,NA,NA
whiteblotched skate,1,jensen_k2,NA,0.032,NA,NA,NA
whiteblotched skate,2,jensen_k2,NA,0.04224,NA,NA,NA
whiteblotched skate,3,jensen_k2,NA,0.057920000000000006,NA,NA,NA
whiteblotched skate,1,then,NA,0.04343933707564484,NA,NA,NA
whiteblotched skate,2,then,NA,0.05320298064312852,NA,NA,NA
whiteblotched skate,3,then,NA,0.06891851527554343,NA,NA,NA
whitebrow skate,1,amax,NA,0.14594594594594595,NA,NA,NA
whitebrow skate,1,fishlife,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225,0.21949099396933225
whitebrow skate,1,frisk_k,NA,0.07717609415851172,NA,NA,NA
whitebrow skate,1,frisk_tmat,NA,0.08045052292839903,NA,NA,NA
whitebrow skate,1,hamel_k,NA,0.028398599999999996,NA,NA,NA
whitebrow skate,1,jensen_k1,NA,0.0243,NA,NA,NA
whitebrow skate,1,jensen_k2,NA,0.02592,NA,NA,NA
whitebrow skate,1,then,NA,0.03708059917616137,NA,NA,NA
